Ref,make,model,FOB,VehicleWidth,VehicleLength,VehicleHeight,Volume
su23925w,Mitsubishi,Pajero Mini,850,1475,3395,1670,8.36273375
tr163864w,Mitsubishi,Canter,3500,1690,4690,1990,15.772939
va13926,Mazda,Bongo Brawny Van,3800,1690,4690,1980,15.693678
tr13924w,Mitsubishi,Canter,6200,1690,4690,1990,15.772939
tr13923w,Mitsubishi,Canter,6700,1690,4800,2260,18.33312
va23922w,Mazda,Bongo Van,2200,1635,4285,1850,12.96105375
va23921w,Toyota,Hiace Van,4700,1690,4690,1980,15.693678
su23920w,Mitsubishi,Pajero Mini,700,1475,3395,1670,8.36273375
su23919w,Mitsubishi,Pajero Mini,850,1475,3395,1665,8.337695625
su23918w,Mitsubishi,Pajero Mini,850,1475,3395,1670,8.36273375
va23916w,Toyota,Hiace Van,6300,1690,4690,1980,15.693678
va23915w,Toyota,Hiace Van,6300,1690,4690,2250,17.833725
su43913w,Mitsubishi,Pajero Mini,750,1475,3395,1670,8.36273375
va43912,Toyota,Hiace Van,4000,1690,4690,1980,15.693678
su53910,Mitsubishi,Pajero Mini,920,1475,3395,1665,8.337695625
va63899w600,Mazda,Bongo Brawny Van,2200,1690,4690,1990,15.772939
va33909w,Toyota,Hiace Van,4000,1690,4690,1980,15.693678
va43907w,Toyota,Hiace Van,5500,1690,4430,1960,14.673932
va53906w600,Toyota,Hiace Van,5600,1690,4430,1960,14.673932
va43905,Nissan,Vanette Van,2550,1635,4285,1850,12.96105375
va43903w,Toyota,Hiace Van,3200,1690,4430,1960,14.673932
se73898,Nissan,Tiida Latio,2200,1695,4430,1535,11.52608475
se83897,Toyota,Belta,4950,1690,4300,1460,10.60982
tr83891w,Mitsubishi,Canter,7100,1760,4840,2120,18.059008
va103890w,Toyota,Hiace Van,3800,1690,4690,1980,15.693678
va93887,Mazda,Bongo Van,2000,1635,4370,1980,14.147001
su103885w,Nissan,X-Trail,2000,1765,4520,1750,13.96115
ha103881,Nissan,Note,1900,1690,4060,1545,10.600863
va333797w,Toyota,Hiace Van,4400,1690,4990,2270,19.143137
va123874w,Toyota,Hiace Van,5050,1690,4430,1980,14.823666
ha133871,Honda,Fit,2650,1675,3850,1525,9.83434375
ha133870,Honda,Fit,1950,1675,3850,1525,9.83434375
va163867,Honda,Odyssey,2000,1800,4770,1550,13.3083
va173863,Honda,Stream,1800,1695,4550,1590,12.2624775
va173862w,Toyota,Hiace Van,3950,1690,4690,1980,15.693678
va193861,Nissan,Vanette Van,2450,1635,4285,1980,13.8718305
tr203853w,Mitsubishi,Canter,4200,1690,4740,2390,19.145334
va213851,Toyota,Hiace Van,4400,1690,4690,1980,15.693678
ha223845,Nissan,Tiida,2450,1695,4250,1535,11.05775625
va223844,Mazda,MPV,2250,1830,4815,1745,15.37598025
tr283831w,Mitsubishi,Canter,4000,1690,4690,1990,15.772939
tr293824w,Mitsubishi,Canter,6650,1890,5160,2100,20.48004
su433803,Toyota,RAV4,5100,1735,4155,1690,12.18308325
